Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6417fcf998303423e126135c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34537,0.5,"AUC: [0.53723], Area Under PR Curve: [0.51506], FVE Binomial: [0.00284], Gini Norm: [0.07446], Kolmogorov-Smirnov: [0.06456], LogLoss: [0.69114], Max MCC: [0.08458], RMSE: [0.499], Rate@Top10%: [0.52287], Rate@Top5%: [0.39664], Rate@TopTenth%: [0.11429], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf55,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69074,0.5,"AUC: [0.53783], Area Under PR Curve: [0.51594], FVE Binomial: [0.00325], Gini Norm: [0.07566], Kolmogorov-Smirnov: [0.0734], LogLoss: [0.69086], Max MCC: [0.08512], RMSE: [0.49886], Rate@Top10%: [0.49508], Rate@Top5%: [0.48408], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e1261362,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34537,0.5,"AUC: [0.53723], Area Under PR Curve: [0.51506], FVE Binomial: [0.00284], Gini Norm: [0.07446], Kolmogorov-Smirnov: [0.06456], LogLoss: [0.69114], Max MCC: [0.08458], RMSE: [0.499], Rate@Top10%: [0.52287], Rate@Top5%: [0.39664], Rate@TopTenth%: [0.11429], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf56,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69074,0.5,"AUC: [0.53783], Area Under PR Curve: [0.51594], FVE Binomial: [0.00325], Gini Norm: [0.07566], Kolmogorov-Smirnov: [0.0734], LogLoss: [0.69086], Max MCC: [0.08512], RMSE: [0.49886], Rate@Top10%: [0.49508], Rate@Top5%: [0.48408], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e126135f,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",34537,0.5,"AUC: [0.96637], Area Under PR Curve: [0.97868], FVE Binomial: [0.72888], Gini Norm: [0.93274], Kolmogorov-Smirnov: [0.91878], LogLoss: [0.18791], Max MCC: [0.92098], RMSE: [0.21342], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf48,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",69074,0.5,"AUC: [0.9675], Area Under PR Curve: [0.97969], FVE Binomial: [0.79397], Gini Norm: [0.935], Kolmogorov-Smirnov: [0.92393], LogLoss: [0.1428], Max MCC: [0.92572], RMSE: [0.19265], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b618,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",138148,0.5,"AUC: [0.96889], Area Under PR Curve: [0.98069], FVE Binomial: [0.80969], Gini Norm: [0.93778], Kolmogorov-Smirnov: [0.9328], LogLoss: [0.13191], Max MCC: [0.9343], RMSE: [0.18259], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261357,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Logistic Regression",34537,0.5,"AUC: [0.53574], Area Under PR Curve: [0.51117], FVE Binomial: [0.00245], Gini Norm: [0.07148], Kolmogorov-Smirnov: [0.08202], LogLoss: [0.69141], Max MCC: [0.09211], RMSE: [0.49913], Rate@Top10%: [0.49334], Rate@Top5%: [0.40243], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Logistic Regression,True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6417fcf998303423e1261363,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",34537,0.5,"AUC: [0.9631], Area Under PR Curve: [0.9765], FVE Binomial: [0.77796], Gini Norm: [0.9262], Kolmogorov-Smirnov: [0.91409], LogLoss: [0.1539], Max MCC: [0.91673], RMSE: [0.20095], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4b,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",69074,0.5,"AUC: [0.964], Area Under PR Curve: [0.97716], FVE Binomial: [0.78462], Gini Norm: [0.928], Kolmogorov-Smirnov: [0.91593], LogLoss: [0.14928], Max MCC: [0.91848], RMSE: [0.19795], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b61c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",138148,0.5,"AUC: [0.96381], Area Under PR Curve: [0.97696], FVE Binomial: [0.78608], Gini Norm: [0.92762], Kolmogorov-Smirnov: [0.9153], LogLoss: [0.14827], Max MCC: [0.9179], RMSE: [0.19797], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261355,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units)",34537,0.5,"AUC: [0.95154], Area Under PR Curve: [0.96881], FVE Binomial: [0.66111], Gini Norm: [0.90308], Kolmogorov-Smirnov: [0.87434], LogLoss: [0.23489], Max MCC: [0.87948], RMSE: [0.25114], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4f,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units)",69074,0.5,"AUC: [0.95413], Area Under PR Curve: [0.97062], FVE Binomial: [0.67499], Gini Norm: [0.90826], Kolmogorov-Smirnov: [0.88753], LogLoss: [0.22527], Max MCC: [0.89195], RMSE: [0.24243], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e1261359,6417f82594c7bf6813a168aa,Informative Features,"Constant Splines, Regularized Logistic Regression (L2)",34537,0.5,"AUC: [0.94991], Area Under PR Curve: [0.96803], FVE Binomial: [0.69639], Gini Norm: [0.89982], Kolmogorov-Smirnov: [0.8794], LogLoss: [0.21043], Max MCC: [0.88485], RMSE: [0.23431], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,effects,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf50,6417f82594c7bf6813a168aa,Informative Features,"Constant Splines, Regularized Logistic Regression (L2)",69074,0.5,"AUC: [0.95027], Area Under PR Curve: [0.96819], FVE Binomial: [0.69666], Gini Norm: [0.90054], Kolmogorov-Smirnov: [0.87934], LogLoss: [0.21025], Max MCC: [0.88478], RMSE: [0.23473], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,effects,False,31.999741,43172,,0,False,False,,,
False,64180a57d5326692b2fa9ea2,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",215858,0.5,"AUC: [0.9687, 0.9700099999999999], Area Under PR Curve: [0.9806, 0.98139], FVE Binomial: [0.80318, 0.8081000000000002], Gini Norm: [0.9374, 0.94002], Kolmogorov-Smirnov: [0.93126, 0.9335559999999999], LogLoss: [0.13642, 0.13301000000000002], Max MCC: [0.93286, 0.934998], RMSE: [0.18683, 0.183828], Rate@Top10%: [1.0, 1.0], Rate@Top5%: [1.0, 1.0], Rate@TopTenth%: [1.0, 1.0], labels: ['(0,-1)', '(.,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,100.0,43172,,0,False,False,,,
False,6417fcf998303423e1261360,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",34537,0.5,"AUC: [0.96511], Area Under PR Curve: [0.97787], FVE Binomial: [0.78548], Gini Norm: [0.93022], Kolmogorov-Smirnov: [0.91524], LogLoss: [0.14869], Max MCC: [0.9178], RMSE: [0.19823], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,15.999871,43172,,0,False,True,,,
False,6418000458cbf04cd2cdaf49,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",69074,0.5,"AUC: [0.96746], Area Under PR Curve: [0.97965], FVE Binomial: [0.79802], Gini Norm: [0.93492], Kolmogorov-Smirnov: [0.92419], LogLoss: [0.13999], Max MCC: [0.92614], RMSE: [0.19055], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,31.999741,43172,,0,False,True,,,
False,6418041350b38c4df333b61a,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",138148,0.5,"AUC: [0.96891], Area Under PR Curve: [0.98071], FVE Binomial: [0.80723], Gini Norm: [0.93782], Kolmogorov-Smirnov: [0.9297], LogLoss: [0.13361], Max MCC: [0.93132], RMSE: [0.18499], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,63.999482,43172,,0,False,True,,,
False,6417fcf998303423e126135e,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",34537,0.5,"AUC: [0.96713], Area Under PR Curve: [0.97926], FVE Binomial: [0.74643], Gini Norm: [0.93426], Kolmogorov-Smirnov: [0.91989], LogLoss: [0.17575], Max MCC: [0.92214], RMSE: [0.20786], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf47,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",69074,0.5,"AUC: [0.96693], Area Under PR Curve: [0.97929], FVE Binomial: [0.78828], Gini Norm: [0.93386], Kolmogorov-Smirnov: [0.92118], LogLoss: [0.14675], Max MCC: [0.92318], RMSE: [0.19573], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,31.999741,43172,,0,False,False,,,
