Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6418041350b38c4df333b61b,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",138148,0.5,"AUC: [0.9691], Area Under PR Curve: [0.98083], FVE Binomial: [0.80934], Gini Norm: [0.9382], Kolmogorov-Smirnov: [0.93275], LogLoss: [0.13215], Max MCC: [0.93429], RMSE: [0.183], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6418092e39c11b7c54234872,6418092d39c11b7c5423486a,DR Reduced Features M42,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",138148,0.5,"AUC: [0.96876], Area Under PR Curve: [0.9806], FVE Binomial: [0.80951], Gini Norm: [0.93752], Kolmogorov-Smirnov: [0.93253], LogLoss: [0.13203], Max MCC: [0.9341], RMSE: [0.18283], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6418098150801b50b99b08a6,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",172686,0.5,"AUC: [0.96904, 0.9698519999999998], Area Under PR Curve: [0.98074, 0.9812899999999999], FVE Binomial: [0.81062, 0.8152000000000001], Gini Norm: [0.93808, 0.9397040000000001], Kolmogorov-Smirnov: [0.93293, 0.935154], LogLoss: [0.13126, 0.12808599999999998], Max MCC: [0.9345, 0.936596], RMSE: [0.18177, 0.178894], Rate@Top10%: [1.0, 1.0], Rate@Top5%: [1.0, 1.0], Rate@TopTenth%: [1.0, 1.0], labels: ['(0,-1)', '(.,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,79.999815,43172,,0,False,False,,,
False,6417fcf998303423e126135a,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",34537,0.5,"AUC: [0.9604], Area Under PR Curve: [0.97471], FVE Binomial: [0.61659], Gini Norm: [0.9208], Kolmogorov-Smirnov: [0.90738], LogLoss: [0.26575], Max MCC: [0.91055], RMSE: [0.26193], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4d,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",69074,0.5,"AUC: [0.96083], Area Under PR Curve: [0.97497], FVE Binomial: [0.64052], Gini Norm: [0.92166], Kolmogorov-Smirnov: [0.90818], LogLoss: [0.24916], Max MCC: [0.91128], RMSE: [0.25221], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b61e,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Gradient Boosted Trees Classifier",138148,0.5,"AUC: [0.96099], Area Under PR Curve: [0.97512], FVE Binomial: [0.6425], Gini Norm: [0.92198], Kolmogorov-Smirnov: [0.90801], LogLoss: [0.24778], Max MCC: [0.91114], RMSE: [0.25185], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Gradient Boosted Trees Classifier,True,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261364,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Stochastic Gradient Descent Classifier",34537,0.5,"AUC: [0.93806], Area Under PR Curve: [0.96078], FVE Binomial: [0.6354], Gini Norm: [0.87612], Kolmogorov-Smirnov: [0.85743], LogLoss: [0.25271], Max MCC: [0.86459], RMSE: [0.25673], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Stochastic Gradient Descent Classifier,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf53,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Stochastic Gradient Descent Classifier",69074,0.5,"AUC: [0.93683], Area Under PR Curve: [0.95973], FVE Binomial: [0.63338], Gini Norm: [0.87366], Kolmogorov-Smirnov: [0.85049], LogLoss: [0.25411], Max MCC: [0.85847], RMSE: [0.26273], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Stochastic Gradient Descent Classifier,False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e1261356,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",34537,0.5,"AUC: [0.94694], Area Under PR Curve: [0.95874], FVE Binomial: [-0.37428], Gini Norm: [0.89388], Kolmogorov-Smirnov: [0.86364], LogLoss: [0.95253], Max MCC: [0.86953], RMSE: [0.25291], Rate@Top10%: [0.9933], Rate@Top5%: [0.9933], Rate@TopTenth%: [0.9933], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf51,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",69074,0.5,"AUC: [0.95693], Area Under PR Curve: [0.96761], FVE Binomial: [0.04186], Gini Norm: [0.91386], Kolmogorov-Smirnov: [0.87965], LogLoss: [0.6641], Max MCC: [0.88396], RMSE: [0.23499], Rate@Top10%: [0.99552], Rate@Top5%: [0.99552], Rate@TopTenth%: [0.99552], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b61f,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Decision Tree Classifier (Gini)",138148,0.5,"AUC: [0.96354], Area Under PR Curve: [0.97381], FVE Binomial: [0.25533], Gini Norm: [0.92708], Kolmogorov-Smirnov: [0.89133], LogLoss: [0.51614], Max MCC: [0.89492], RMSE: [0.22009], Rate@Top10%: [0.99762], Rate@Top5%: [0.99762], Rate@TopTenth%: [0.99762], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Decision Tree Classifier (Gini),True,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261358,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",34537,0.5,"AUC: [0.53771], Area Under PR Curve: [0.51159], FVE Binomial: [0.00265], Gini Norm: [0.07542], Kolmogorov-Smirnov: [0.085], LogLoss: [0.69127], Max MCC: [0.09622], RMSE: [0.49906], Rate@Top10%: [0.48581], Rate@Top5%: [0.39838], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf54,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",69074,0.5,"AUC: [0.53918], Area Under PR Curve: [0.51584], FVE Binomial: [0.00333], Gini Norm: [0.07836], Kolmogorov-Smirnov: [0.07931], LogLoss: [0.6908], Max MCC: [0.0853], RMSE: [0.49883], Rate@Top10%: [0.48929], Rate@Top5%: [0.47539], Rate@TopTenth%: [0.08571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e126135d,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",34537,0.5,"AUC: [0.9617], Area Under PR Curve: [0.97555], FVE Binomial: [0.76821], Gini Norm: [0.9234], Kolmogorov-Smirnov: [0.90908], LogLoss: [0.16066], Max MCC: [0.91202], RMSE: [0.2066], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,15.999871,43172,,0,False,True,,,
False,6418000458cbf04cd2cdaf4c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",69074,0.5,"AUC: [0.96369], Area Under PR Curve: [0.97687], FVE Binomial: [0.77532], Gini Norm: [0.92738], Kolmogorov-Smirnov: [0.91177], LogLoss: [0.15573], Max MCC: [0.91437], RMSE: [0.20333], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,31.999741,43172,,0,False,True,,,
False,6418041350b38c4df333b61d,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",138148,0.5,"AUC: [0.96548], Area Under PR Curve: [0.97806], FVE Binomial: [0.78282], Gini Norm: [0.93096], Kolmogorov-Smirnov: [0.91304], LogLoss: [0.15053], Max MCC: [0.9156], RMSE: [0.19951], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,63.999482,43172,,0,False,True,,,
False,6417fcf998303423e1261365,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",34537,0.5,"AUC: [0.96464], Area Under PR Curve: [0.97758], FVE Binomial: [0.78534], Gini Norm: [0.92928], Kolmogorov-Smirnov: [0.91581], LogLoss: [0.14878], Max MCC: [0.91832], RMSE: [0.19818], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4a,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",69074,0.5,"AUC: [0.96748], Area Under PR Curve: [0.97965], FVE Binomial: [0.79712], Gini Norm: [0.93496], Kolmogorov-Smirnov: [0.9223], LogLoss: [0.14062], Max MCC: [0.92443], RMSE: [0.1914], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b619,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",138148,0.5,"AUC: [0.96882], Area Under PR Curve: [0.98063], FVE Binomial: [0.80504], Gini Norm: [0.93764], Kolmogorov-Smirnov: [0.92832], LogLoss: [0.13513], Max MCC: [0.93005], RMSE: [0.18698], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261361,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",34537,0.5,"AUC: [0.94133], Area Under PR Curve: [0.96279], FVE Binomial: [0.64905], Gini Norm: [0.88266], Kolmogorov-Smirnov: [0.86739], LogLoss: [0.24324], Max MCC: [0.87378], RMSE: [0.25378], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf52,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",69074,0.5,"AUC: [0.94115], Area Under PR Curve: [0.96267], FVE Binomial: [0.65058], Gini Norm: [0.8823], Kolmogorov-Smirnov: [0.8694], LogLoss: [0.24219], Max MCC: [0.87564], RMSE: [0.25349], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e126135b,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Smooth Ridit Transform, Elastic-Net Classifier (L2 / Binomial Deviance)",34537,0.5,"AUC: [0.95528], Area Under PR Curve: [0.97106], FVE Binomial: [0.72667], Gini Norm: [0.91056], Kolmogorov-Smirnov: [0.88715], LogLoss: [0.18945], Max MCC: [0.89187], RMSE: [0.23004], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4e,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Smooth Ridit Transform, Elastic-Net Classifier (L2 / Binomial Deviance)",69074,0.5,"AUC: [0.95604], Area Under PR Curve: [0.97146], FVE Binomial: [0.72873], Gini Norm: [0.91208], Kolmogorov-Smirnov: [0.88796], LogLoss: [0.18802], Max MCC: [0.89258], RMSE: [0.22925], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance),False,False,NA,False,31.999741,43172,,0,False,False,,,
